DATASET PREDIKSI JUMLAH PERCERAIAN DI INDONESIA TAHUN 2022–2025,,,,,,
Variabel: Y = Jumlah Perceraian  |  X1 = Pengeluaran per Kapita  |  X2 = TPT (Agustus)  |  X3 = % Penduduk Miskin (September/Maret),,,,,,
Sumber Data: Badan Pusat Statistik (BPS) Republik Indonesia  |  29 Provinsi × 4 Tahun = 116 Observasi,,,,,,
No,Provinsi,Tahun,"Y
Jumlah Perceraian
(Perkara)","X1
Pengeluaran per Kapita
Disesuaikan
(Ribu Rp/Org/Thn)","X2
Tingkat Pengangguran
Terbuka
(%)","X3
Persentase Penduduk
Miskin
(%)"
1,Aceh,2022,6904,9963,6.17,14.64
,,2023,6086,10334,6.03,14.45
,,2024,6103,10811,5.75,12.64
,,2025,6471,11191,5.64,12.22
2,Sumatera Utara,2022,17333,10848,6.16,8.42
,,2023,15660,11049,5.89,8.15
,,2024,15955,11460,5.6,7.19
,,2025,18844,11898,5.32,7.24
3,Sumatera Barat,2022,8967,11130,6.28,5.92
,,2023,8036,11380,5.94,5.95
,,2024,8292,11718,5.75,5.42
,,2025,8963,12041,5.62,5.31
4,Riau,2022,11767,11158,4.37,6.78
,,2023,8617,11448,4.23,6.68
,,2024,8242,11857,3.7,6.36
,,2025,9277,12233,4.16,6.3
5,Jambi,2022,6204,10871,4.59,7.62
,,2023,4573,11160,4.53,7.58
,,2024,4580,11621,4.48,7.26
,,2025,5404,12018,4.26,6.89
6,Sumatera Selatan,2022,11119,11109,4.63,11.9
,,2023,10374,11472,4.11,11.78
,,2024,10180,12015,3.86,10.51
,,2025,12058,12416,3.69,9.85
7,Bengkulu,2022,3810,10840,3.59,14.62
,,2023,3641,11172,3.42,14.04
,,2024,3539,11733,3.11,12.52
,,2025,4164,12197,3.41,11.88
8,Lampung,2022,15361,10336,4.52,11.57
,,2023,14038,10769,4.23,11.11
,,2024,14603,11258,4.19,10.62
,,2025,16624,11683,4.21,9.66
9,Kepulauan Bangka Belitung,2022,2700,13358,4.77,4.45
,,2023,2239,13589,4.56,4.52
,,2024,2291,13667,4.63,5.08
,,2025,2347,13837,4.45,4.77
10,DKI Jakarta,2022,15947,18927,7.18,4.69
,,2023,14381,19373,6.53,4.44
,,2024,12375,19953,6.21,4.14
,,2025,14062,20676,6.05,4.03
11,Jawa Barat,2022,98890,11277,8.31,8.06
,,2023,91146,11695,7.44,7.62
,,2024,88985,12157,6.75,7.08
,,2025,98903,12447,6.77,6.78
12,Jawa Tengah,2022,74030,11377,5.57,10.93
,,2023,68133,11835,5.13,10.77
,,2024,64937,12276,4.78,9.58
,,2025,67500,12746,4.66,9.39
13,DI Yogyakarta,2022,5347,14482,4.06,11.34
,,2023,5187,14924,3.69,11.04
,,2024,4719,15361,3.48,10.4
,,2025,5202,15855,3.46,10.08
14,Jawa Timur,2022,89093,11992,5.49,10.38
,,2023,79248,12421,4.88,10.35
,,2024,79293,12852,4.19,9.56
,,2025,83208,13509,3.88,9.3
15,Banten,2022,15322,12216,8.09,6.16
,,2023,14133,12601,7.52,6.17
,,2024,13529,13097,6.68,5.7
,,2025,15400,13498,6.69,5.51
16,Nusa Tenggara Barat,2022,8759,10681,2.89,13.68
,,2023,6766,11095,2.8,13.85
,,2024,6946,11606,2.73,11.91
,,2025,7509,11922,3.06,11.38
17,Nusa Tenggara Timur,2022,497,7877,3.54,20.05
,,2023,471,8248,3.14,19.96
,,2024,500,8534,3.02,19.02
,,2025,494,8735,3.31,17.5
18,Kalimantan Barat,2022,5661,9355,5.11,6.73
,,2023,4979,9810,5.05,6.71
,,2024,4754,10321,4.86,6.25
,,2025,5545,10689,4.82,5.97
19,Kalimantan Tengah,2022,3557,11458,4.26,5.28
,,2023,3147,11878,4.1,5.11
,,2024,3138,12303,4.01,5.26
,,2025,3756,12612,3.97,4.94
20,Kalimantan Selatan,2022,7706,12469,4.74,4.49
,,2023,6537,12953,4.31,4.29
,,2024,6565,13399,4.2,4.02
,,2025,7174,13757,4.16,3.73
21,Kalimantan Timur,2022,8349,12641,5.71,6.31
,,2023,6910,13202,5.31,6.11
,,2024,6279,13793,5.14,5.51
,,2025,6972,14254,5.18,5.19
22,Sulawesi Utara,2022,1916,11179,3.36,7.28
,,2023,1818,11497,3.15,7.38
,,2024,1998,11998,3.09,6.7
,,2025,2092,12450,3.31,6.62
23,Sulawesi Tengah,2022,3926,9696,3.59,12.33
,,2023,3581,10149,3.42,12.41
,,2024,3978,10536,3.09,11.04
,,2025,4755,10934,3.41,10.52
24,Sulawesi Selatan,2022,15010,11430,4.74,8.63
,,2023,12806,11841,4.31,8.7
,,2024,12200,12275,4.2,7.77
,,2025,13323,12773,4.16,7.43
25,Sulawesi Tenggara,2022,3724,9708,3.36,11.17
,,2023,3673,10117,3.15,11.43
,,2024,3522,10606,3.09,10.63
,,2025,4253,10992,3.31,10.14
26,Gorontalo,2022,2361,10687,2.58,15.42
,,2023,2062,11069,3.06,15.15
,,2024,2124,11539,3.13,13.87
,,2025,2671,11937,3.42,12.62
27,Maluku,2022,794,8876,6.88,15.97
,,2023,793,9278,6.31,16.42
,,2024,668,9684,6.11,15.78
,,2025,760,9900,6.27,15.25
28,Maluku Utara,2022,1274,8398,3.98,6.23
,,2023,1168,8834,4.31,6.46
,,2024,1324,9320,4.03,6.03
,,2025,1510,9613,4.55,5.59
29,Papua,2022,1798,7146,2.83,26.56
,,2023,1156,7562,2.67,26.03
,,2024,1088,11037,6.48,18.09
,,2025,1137,11342,6.96,17.82
,,,,,,
KETERANGAN VARIABEL:,,,,,,
